month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2021-03-01,B DIVISION,S Rock,1,503,485,96.42147
2021-03-01,B DIVISION,W,1,878,809,92.14123
2021-03-01,Systemwide,Systemwide,1,46386,44159,95.19898
2021-03-01,Systemwide,Systemwide,2,19271,18690,96.98511
2021-02-01,A DIVISION,1,2,918,838,91.2854
2021-02-01,A DIVISION,1,1,1471,1305,88.71516
2021-02-01,A DIVISION,2,1,2016,1799,89.23611
2021-02-01,A DIVISION,2,2,1603,1489,92.88833
2021-02-01,A DIVISION,3,1,1848,1659,89.772725
2021-02-01,A DIVISION,3,2,1210,1120,92.561984
2021-02-01,A DIVISION,4,1,2593,2307,88.970304
2021-02-01,A DIVISION,4,2,1842,1678,91.096634
2021-02-01,A DIVISION,5,1,2371,2053,86.587936
2021-02-01,A DIVISION,5,2,1235,1185,95.951414
2021-02-01,A DIVISION,6,1,1890,1670,88.35979
2021-02-01,A DIVISION,6,2,911,788,86.498356
2021-02-01,A DIVISION,7,1,2442,2190,89.68059
2021-02-01,A DIVISION,7,2,1089,1069,98.16345
2021-02-01,A DIVISION,S 42nd,1,941,940,99.89373
2021-02-01,A DIVISION,S 42nd,2,976,946,96.92623
2021-02-01,B DIVISION,A,2,1437,1381,96.102995
2021-02-01,B DIVISION,A,1,2375,2050,86.315787
2021-02-01,B DIVISION,B,1,1520,1316,86.57895
2021-02-01,B DIVISION,C,1,1059,972,91.784704
2021-02-01,B DIVISION,C,2,1230,1161,94.390243
2021-02-01,B DIVISION,D,2,1225,1191,97.22449
2021-02-01,B DIVISION,D,1,1682,1568,93.222356
2021-02-01,B DIVISION,E,1,1417,1349,95.20113
2021-02-01,B DIVISION,F,1,1626,1561,96.00246
2021-02-01,B DIVISION,G,2,1104,1066,96.55797
2021-02-01,B DIVISION,G,1,841,809,96.195006
2021-02-01,B DIVISION,JZ,2,683,661,96.77892
2021-02-01,B DIVISION,JZ,1,913,884,96.823657
2021-02-01,B DIVISION,L,1,1723,1601,92.919326
2021-02-01,B DIVISION,L,2,1102,1070,97.096187
2021-02-01,B DIVISION,M,2,504,484,96.031743
2021-02-01,B DIVISION,M,1,1622,1456,89.76572
